system:index,VIIRS_NTL,date,station_id,.geo
12_5_0,76.34797668457031,2023-01-13,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
12_6_0,41.746482849121094,2023-01-13,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
12_7_0,65.0400390625,2023-01-13,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
13_0_0,74.27564239501953,2023-01-14,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
13_1_0,48.11775588989258,2023-01-14,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
13_2_0,36.5793571472168,2023-01-14,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
13_3_0,36.94966506958008,2023-01-14,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
13_4_0,50.65571975708008,2023-01-14,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
13_5_0,76.34797668457031,2023-01-14,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
13_6_0,41.746482849121094,2023-01-14,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
13_7_0,65.0400390625,2023-01-14,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
14_0_0,74.27564239501953,2023-01-15,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
14_1_0,48.11775588989258,2023-01-15,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
14_2_0,36.5793571472168,2023-01-15,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
14_3_0,36.94966506958008,2023-01-15,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
14_4_0,50.65571975708008,2023-01-15,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
14_5_0,76.34797668457031,2023-01-15,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
14_6_0,41.746482849121094,2023-01-15,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
14_7_0,65.0400390625,2023-01-15,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
15_0_0,74.27564239501953,2023-01-16,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
15_1_0,48.11775588989258,2023-01-16,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
15_2_0,36.5793571472168,2023-01-16,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
15_3_0,36.94966506958008,2023-01-16,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
15_4_0,50.65571975708008,2023-01-16,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
15_5_0,76.34797668457031,2023-01-16,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
15_6_0,41.746482849121094,2023-01-16,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
15_7_0,65.0400390625,2023-01-16,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
16_0_0,74.27564239501953,2023-01-17,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
16_1_0,48.11775588989258,2023-01-17,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
16_2_0,36.5793571472168,2023-01-17,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
