system:index,dummy,lat,lon,modis_aod_047,.geo
57_0,1,-6.319648023780834,106.87706092812007,391.6875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.319648023780834]}"
58_0,1,-6.319648023780834,106.88604408096127,396.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.319648023780834]}"
59_0,1,-6.319648023780834,106.89502723380247,396.8333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.319648023780834]}"
60_0,1,-6.319648023780834,106.90401038664366,416.16666666666663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.319648023780834]}"
61_0,1,-6.319648023780834,106.91299353948486,411.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.319648023780834]}"
62_0,1,-6.310664870939639,106.77824624686693,409.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.310664870939639]}"
63_0,1,-6.310664870939639,106.78722939970812,402.25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.310664870939639]}"
64_0,1,-6.310664870939639,106.79621255254932,403.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.310664870939639]}"
65_0,1,-6.310664870939639,106.80519570539052,404.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.310664870939639]}"
66_0,1,-6.310664870939639,106.81417885823171,386.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.310664870939639]}"
67_0,1,-6.310664870939639,106.82316201107291,395.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.310664870939639]}"
68_0,1,-6.310664870939639,106.83214516391409,387.25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.310664870939639]}"
69_0,1,-6.310664870939639,106.84112831675529,386.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.310664870939639]}"
70_0,1,-6.310664870939639,106.85011146959648,400.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.310664870939639]}"
71_0,1,-6.310664870939639,106.85909462243768,403.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.310664870939639]}"
72_0,1,-6.310664870939639,106.86807777527888,395.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.310664870939639]}"
73_0,1,-6.310664870939639,106.87706092812007,401.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.310664870939639]}"
74_0,1,-6.310664870939639,106.88604408096127,394.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.310664870939639]}"
75_0,1,-6.310664870939639,106.89502723380247,412.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.310664870939639]}"
76_0,1,-6.310664870939639,106.90401038664366,420.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.310664870939639]}"
77_0,1,-6.310664870939639,106.91299353948486,428.7142857142857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.310664870939639]}"
78_0,1,-6.301681718098443,106.77824624686693,412.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.301681718098443]}"
