system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
170_0,1,-6.256765953892468,106.83214516391409,0.035756427799679566,1.0869477782154293E-4,0.11578154900876862,-3.0527271292838294E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.256765953892468]}"
171_0,1,-6.256765953892468,106.84112831675529,0.03526407787086593,1.0979708748852061E-4,0.11604205988589071,7.645682716098539E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.256765953892468]}"
172_0,1,-6.256765953892468,106.85011146959648,0.03529426007282556,1.0521952807905828E-4,0.11582073963004402,6.59996795173481E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.256765953892468]}"
173_0,1,-6.256765953892468,106.85909462243768,0.03529426007282556,1.0521952807905828E-4,0.11582073963004402,6.59996795173481E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.256765953892468]}"
174_0,1,-6.256765953892468,106.86807777527888,0.03523477769345857,1.0482665429149669E-4,0.11579105862856438,9.967068399435223E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.256765953892468]}"
175_0,1,-6.256765953892468,106.87706092812007,0.03525373979445332,1.0871013109651747E-4,0.11578323160561432,7.895539463601711E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.256765953892468]}"
176_0,1,-6.256765953892468,106.88604408096127,0.03524854779249179,1.0535961130454422E-4,0.11592544876877901,1.0802049337598369E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.256765953892468]}"
177_0,1,-6.256765953892468,106.89502723380247,0.03524854779241353,1.0407431215297508E-4,0.11603825365374182,9.723275107522843E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.256765953892468]}"
178_0,1,-6.256765953892468,106.90401038664366,0.03524854779238536,1.0140873292939532E-4,0.1160301136585414,8.8535704373631E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.256765953892468]}"
179_0,1,-6.256765953892468,106.91299353948486,0.035251926630792504,9.729827280100328E-5,0.11588192878620922,1.25722080367572E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.256765953892468]}"
