lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,modis_aod_047,viirs_ntl
-6.274732259574858,106.76926309402572,0.0350581852825461,0.0001084774070976338,0.1166535238991214,2.034378818014656e-05,445.0,38.86135721842448
-6.274732259574858,106.77824624686691,0.0350388232016211,0.00010843295342976966,0.1166533717661169,5.550023995198756e-05,430.75,41.84379323323568
-6.274732259574858,106.78722939970812,0.0350380472368464,0.00010841250395802548,0.1167564064289861,6.922468067685954e-05,425.3333333333333,36.88567365679825
-6.274732259574858,106.79621255254932,0.0350355829353581,0.00010859454044999472,0.1167527938441453,5.179759294811228e-05,426.7142857142857,41.9259271773081
-6.274732259574858,106.80519570539052,0.0348384033888369,0.00010479009077533249,0.1167670762516071,3.956539244220816e-05,420.0,44.577136126431554
-6.274732259574858,106.81417885823171,0.0348310926612377,0.00010442888175753104,0.1167565323509735,7.365629081817462e-06,415.75,44.07843589782715
-6.274732259574858,106.82316201107292,0.0348336932043667,0.00010382272193958802,0.1168738870480877,6.038339140742292e-06,421.2,39.735078539167134
-6.274732259574858,106.83214516391408,0.0350426026748783,0.00010600337445823294,0.1168755852209615,1.909758503582869e-05,403.25,37.60496885435922
-6.274732259574858,106.84112831675527,0.034832996290712,0.00010879608191701329,0.1168729066958884,5.41504653189713e-05,395.6666666666667,36.940638880575854
-6.274732259574858,106.85011146959648,0.0347916477697688,0.0001076699706580334,0.1168609829303077,5.16404215835628e-05,396.6,32.61135005950928
-6.274732259574858,106.85909462243768,0.0347916477697688,0.0001076699706580334,0.1168609829303077,5.16404215835628e-05,402.6,40.74081099660773
-6.274732259574858,106.86807777527888,0.034804788321288,0.00010768827633018356,0.1168684806486139,9.357637094005723e-05,403.0,39.1919303608832
-6.274732259574858,106.87706092812007,0.0348052999254333,0.00010768827568592038,0.1168772468032139,6.883221309910284e-05,400.0,28.12925459543864
-6.274732259574858,106.88604408096128,0.0349993846667214,0.00010844652417597029,0.1168736568072918,6.748421756112311e-05,403.6666666666667,24.43059145171067
-6.274732259574858,106.89502723380248,0.034994955078026,0.00010463617446876198,0.1168671078272744,4.483112446657488e-05,411.6,20.338314182502177
