lat,lon,predicted_class,predicted_label
-6.238799648210077,106.78722939970812,1,MEDIUM
-6.238799648210077,106.79621255254932,1,MEDIUM
-6.238799648210077,106.80519570539052,0,GOOD
-6.238799648210077,106.81417885823171,1,MEDIUM
-6.238799648210077,106.82316201107292,1,MEDIUM
-6.238799648210077,106.83214516391408,1,MEDIUM
-6.238799648210077,106.84112831675527,1,MEDIUM
-6.238799648210077,106.85011146959648,1,MEDIUM
-6.238799648210077,106.85909462243768,1,MEDIUM
-6.238799648210077,106.86807777527888,0,GOOD
-6.238799648210077,106.87706092812007,1,MEDIUM
-6.238799648210077,106.88604408096128,0,GOOD
-6.238799648210077,106.89502723380248,2,UNHEALTHY
-6.238799648210077,106.90401038664366,1,MEDIUM
-6.238799648210077,106.91299353948486,0,GOOD
-6.238799648210077,106.92197669232606,0,GOOD
-6.238799648210077,106.93095984516724,1,MEDIUM
-6.238799648210077,106.93994299800843,1,MEDIUM
-6.2298164953688815,106.74231363550214,2,UNHEALTHY
-6.2298164953688815,106.75129678834334,2,UNHEALTHY
-6.2298164953688815,106.76027994118454,1,MEDIUM
-6.2298164953688815,106.76926309402572,1,MEDIUM
-6.2298164953688815,106.77824624686691,1,MEDIUM
-6.2298164953688815,106.78722939970812,1,MEDIUM
-6.2298164953688815,106.79621255254932,0,GOOD
-6.2298164953688815,106.80519570539052,2,UNHEALTHY
-6.2298164953688815,106.81417885823171,2,UNHEALTHY
-6.2298164953688815,106.82316201107292,0,GOOD
-6.2298164953688815,106.83214516391408,1,MEDIUM
-6.2298164953688815,106.84112831675527,1,MEDIUM
-6.2298164953688815,106.85011146959648,1,MEDIUM
-6.2298164953688815,106.85909462243768,1,MEDIUM
-6.2298164953688815,106.86807777527888,1,MEDIUM
-6.2298164953688815,106.87706092812007,1,MEDIUM
-6.2298164953688815,106.88604408096128,1,MEDIUM
-6.2298164953688815,106.89502723380248,0,GOOD
-6.2298164953688815,106.90401038664366,1,MEDIUM
-6.2298164953688815,106.91299353948486,1,MEDIUM
-6.2298164953688815,106.92197669232606,1,MEDIUM
-6.2298164953688815,106.93095984516724,1,MEDIUM
-6.2298164953688815,106.93994299800843,1,MEDIUM
-6.220833342527687,106.72434732981976,2,UNHEALTHY
-6.220833342527687,106.73333048266096,1,MEDIUM
-6.220833342527687,106.74231363550214,1,MEDIUM
-6.220833342527687,106.75129678834334,1,MEDIUM
-6.220833342527687,106.76027994118454,1,MEDIUM
-6.220833342527687,106.76926309402572,0,GOOD
-6.220833342527687,106.77824624686691,1,MEDIUM
-6.220833342527687,106.78722939970812,1,MEDIUM
-6.220833342527687,106.79621255254932,1,MEDIUM
-6.220833342527687,106.80519570539052,1,MEDIUM
-6.220833342527687,106.81417885823171,1,MEDIUM
-6.220833342527687,106.82316201107292,0,GOOD
-6.220833342527687,106.83214516391408,0,GOOD
-6.220833342527687,106.84112831675527,1,MEDIUM
-6.220833342527687,106.85011146959648,1,MEDIUM
-6.220833342527687,106.85909462243768,2,UNHEALTHY
-6.220833342527687,106.86807777527888,1,MEDIUM
-6.220833342527687,106.87706092812007,0,GOOD
-6.220833342527687,106.88604408096128,1,MEDIUM
-6.220833342527687,106.89502723380248,1,MEDIUM
-6.220833342527687,106.90401038664366,1,MEDIUM
-6.220833342527687,106.91299353948486,1,MEDIUM
-6.220833342527687,106.92197669232606,0,GOOD
-6.220833342527687,106.93095984516724,1,MEDIUM
-6.220833342527687,106.93994299800843,0,GOOD
-6.220833342527687,106.94892615084964,1,MEDIUM
-6.211850189686492,106.72434732981976,2,UNHEALTHY
-6.211850189686492,106.73333048266096,1,MEDIUM
-6.211850189686492,106.74231363550214,1,MEDIUM
-6.211850189686492,106.75129678834334,1,MEDIUM
-6.211850189686492,106.76027994118454,2,UNHEALTHY
-6.211850189686492,106.76926309402572,1,MEDIUM
-6.211850189686492,106.77824624686691,1,MEDIUM
-6.211850189686492,106.78722939970812,1,MEDIUM
-6.211850189686492,106.79621255254932,1,MEDIUM
-6.211850189686492,106.80519570539052,2,UNHEALTHY
-6.211850189686492,106.81417885823171,1,MEDIUM
-6.211850189686492,106.82316201107292,1,MEDIUM
