date,station,s5p_co,s5p_no2,s5p_o3,s5p_so2
2024-04-10,kelapa gading,,0.00010826634084650492,0.1128665879176068,-0.000146
2024-04-10,komp angkasa pura jakarta pusat,,0.00015991952426863207,0.1128665879176068,-0.000105
2024-04-10,lubang buaya,,0.00012044915515827136,0.1127972640168341,
2024-04-10,us consulate jakarta pusat,,0.00015991952426863207,0.1128665879176068,-0.000532
2024-04-11,bundaran hotel indonesia,,0.00012028529121462172,0.1131545541823034,
2024-04-11,jagakarsa,,0.00010354024764188976,0.1127220762836136,
2024-04-11,jalan bdn ii,0.0339567254730625,0.00012941191141468413,0.113149480263794,
2024-04-11,kebon jeruk,,0.00010162550293558336,0.1131545541823034,
2024-04-11,kelapa gading,0.0300492253410856,0.00011051812086682146,0.1138862196080171,-0.000445
2024-04-11,komp angkasa pura jakarta pusat,0.0300492253410856,0.00010354024764188976,0.1138862196080171,-0.000445
2024-04-11,lubang buaya,0.0304477954394267,0.00010292696089765768,0.1121605798535348,
2024-04-11,us consulate jakarta pusat,,0.00010354024764188976,0.1138862196080171,
2024-04-12,bundaran hotel indonesia,,0.0002042422565351217,0.1135633769717329,
2024-04-12,jagakarsa,0.0401462318696231,0.00014950582498602077,0.1124440850628012,-0.000405
2024-04-12,jalan bdn ii,,,0.1130448262811901,
2024-04-12,kebon jeruk,,0.0002042422565351217,0.1135633769717329,
2024-04-12,kelapa gading,0.0340516589250603,0.00013563385259394585,0.1132964896050184,-0.000287
2024-04-12,komp angkasa pura jakarta pusat,0.0340516589250603,0.00013563385259394585,0.1132964896050184,-0.000287
2024-04-12,lubang buaya,,,0.1123549810450562,
2024-04-12,us consulate jakarta pusat,0.0401462318696231,0.00013563385259394585,0.1132964896050184,
2024-04-13,bundaran hotel indonesia,0.0395129899481143,0.00013152050894903706,0.1141234331547633,-3.98e-05
2024-04-13,jagakarsa,0.0388094861404509,0.0001132231399160098,0.1141998275066486,-2.27e-05
2024-04-13,jalan bdn ii,0.0361534341062045,9.63499982678608e-05,0.1136834608045517,4.138434391682488e-05
2024-04-13,kebon jeruk,0.0395129899481143,0.00013152050894903706,0.1141234331547633,-8.95e-05
2024-04-13,kelapa gading,0.037936941228288,0.00012236208488967742,0.1141566842489498,-2.52e-05
2024-04-13,komp angkasa pura jakarta pusat,0.037936941228288,0.00012236208488967742,0.1141566842489498,-2.27e-05
2024-04-13,lubang buaya,0.0323468835690949,9.66949773072242e-05,0.1136920490584764,-8e-06
2024-04-13,us consulate jakarta pusat,0.0388094861404509,0.00012236208488967742,0.1141566842489498,-3.98e-05
2024-04-14,bundaran hotel indonesia,0.0366294833094405,0.00013651143293863765,0.1142537954461289,-0.000362
2024-04-14,jagakarsa,0.0366294833094405,8.40914812608279e-05,0.1120004201826899,-7.57e-05
2024-04-14,jalan bdn ii,,8.859362458013533e-05,0.1129341940632003,
2024-04-14,kebon jeruk,0.0366294833094405,0.00013651143293863765,0.1142537954461289,-0.000222
2024-04-14,kelapa gading,0.0343788982925737,9.47198025267705e-05,0.1120736219684037,-0.000139
2024-04-14,komp angkasa pura jakarta pusat,0.0343788982925737,9.47198025267705e-05,0.1120736219684037,-7.57e-05
2024-04-14,lubang buaya,,9.488262767627186e-05,0.1134312004828849,
2024-04-14,us consulate jakarta pusat,0.0366294833094405,9.47198025267705e-05,0.1120736219684037,-0.000362
2024-04-15,bundaran hotel indonesia,0.0297595532588313,9.436436319505557e-05,0.1119771927572702,
2024-04-15,jagakarsa,0.0297595532588313,8.721931538151621e-05,0.1127274845059193,0.00011596603039910494
2024-04-15,jalan bdn ii,0.03086491522969,9.121239286529254e-05,0.1116337517078209,
2024-04-15,kebon jeruk,0.0297595532588313,9.436436319505557e-05,0.1119771927572702,-0.000139
2024-04-15,kelapa gading,0.0245058642201014,9.33700497604045e-05,0.111747294238235,0.00031034834649078827
2024-04-15,komp angkasa pura jakarta pusat,0.0245058642201014,9.33700497604045e-05,0.111747294238235,0.00011596603039910494
2024-04-15,lubang buaya,0.0241156329765841,9.181134429306132e-05,0.1112641050938508,0.00019284635913057653
2024-04-15,us consulate jakarta pusat,0.0297595532588313,9.33700497604045e-05,0.111747294238235,
2024-04-16,bundaran hotel indonesia,0.0285539797843214,0.00014207108066763188,0.1113392184965521,-0.000564
2024-04-16,jagakarsa,0.0285539797843214,0.0001140608433073662,0.1126635361376462,-0.000248
2024-04-16,jalan bdn ii,0.0304080570187837,0.00011590665661519835,0.1115039022537184,
2024-04-16,kebon jeruk,0.0285539797843214,0.00014207108066763188,0.1113392184965521,-0.000564
2024-04-16,kelapa gading,0.0284021081113885,0.0001069844478697014,0.1121774479049435,0.0002782140215120623
2024-04-16,komp angkasa pura jakarta pusat,0.0284021081113885,0.0001069844478697014,0.1121774479049435,0.0002782140215120623
2024-04-16,lubang buaya,0.0289098198606393,0.0001044943942600218,0.1119153658297718,
2024-04-16,us consulate jakarta pusat,0.0284021081113885,0.0001069844478697014,0.1121774479049435,0.0001834570135123793
2024-04-17,bundaran hotel indonesia,,0.00014404491652318275,0.1123337889822867,
2024-04-17,jagakarsa,,0.00013149112033898204,0.1123492358675839,
2024-04-17,jalan bdn ii,,0.0001744082409316046,0.1124122951315264,
2024-04-17,kebon jeruk,,0.00014404491652318275,0.1123337889822867,
2024-04-17,kelapa gading,0.034122813170458,0.00012818874065625876,0.1126258503673009,8.385792872565754e-05
2024-04-17,komp angkasa pura jakarta pusat,0.034122813170458,0.00012818874065625876,0.1126258503673009,8.385792872565754e-05
2024-04-17,lubang buaya,0.0349527808012635,0.0001823174822574044,0.1127297276827637,
2024-04-17,us consulate jakarta pusat,0.034122813170458,0.00012818874065625876,0.1126258503673009,0.0003895978300451624
